CONSULENZA PRE ADOZIONE E DI GESTIONE IN AMBITO FAMILIARE;I nostri Educatori sono disponibili ad effettuare consulenze specifiche pre adozione così da indirizzare il neo proprietario ad effettuare la scelta più consona alle sue specifiche esigenze ed in rapporto al nucleo familiare e all’ambiente. Dando nel contempo indicazioni per una corretta gestione del nuovo arrivato all’interno del suo nuovo gruppo di appartenenza: la famiglia…;img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
PUPPY CLASS;Incontri di gruppo riservati ai cuccioli, create per presentare ai piccoli cani il maggior numero di esperienze possibili in un ambiente sano, positivo,  e sotto la supervisione di educatori esperti così che il cucciolo possa vivere  il maggior numero possibile di esperienze in questa parte della sua vita, e per prevenire che crescendo non possa sviluppare problemi di comportamento (paura, aggressività, etc.). Un momento importante per poter insegnare al piccolo amico a stare a contatto con altri cuccioli della sua età, con cani adulti equilibrati e con una moltitudine di oggetti, situazioni e persone permettergli di formarsi un carattere equilibrato.;img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
CORSI DI EDUCAZIONE DI BASE PER CUCCIOLI E CANI ADULTI;"Durante i corsi di educazione di base saranno trasmesse al proprietario le competenze necessarie affinché questi  impari innanzitutto  a comunicare in maniera corretta col proprio animale e per capire come gestire il cane in maniera adeguata in ogni situazione. Partendo da questo, verranno poi insegnati al cane i comandi di base necessari affinché possa tranquillamente poter restare al fianco del proprietario in ogni situazione:

-         il richiamo 

-         la passeggiata al guinzaglio

-         seduto

-         terra 

-         resta

-         fermo 

-         no

-         lascia

Mentre contestualmente, se presenti, si risolveranno piccole problematiche connesse al comportamento quali il saltare addosso alle persone etc.
Le lezioni saranno individuali, e quindi l’Educatore si dedicherà in maniera esclusiva ad un solo binomio cane-proprietario,  e solo una volta raggiunta una certa sicurezza nell’esecuzione dei  comandi verranno in seguito inseriti elementi di distrazione così da garantire la corretta gestione del proprio animale anche in  situazioni diverse (tornare al richiamo anche in presenza di altri cani, etc.).";img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
CORSI DI EDUCAZIONE AVANZATA;"Dedicati a coloro che desiderano far acquisire al cane ulteriori risposte a comandi più complessi e di crescente difficoltà:

- Comandi a distanza 

- Condotta di tipo sportivo

- Comandi in movimento 

- Salto di ostacolo e palizzata

- Riporto";img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
CORSI DI SOCIALIZZAZIONE CON CANI E PERSONE;Le Classi di Socializzazione rappresentano la possibilità, in ambiente protetto e sotto la guida dell’Educatore,  di incontrarsi tra proprietari ed amici, di esercitare le proprie capacità nel gestire il comportamento del proprio cane che si trova in un ambiente denso di tante distrazioni e favorire così le sue capacità comunicative sia con gli altri cani che con le altre persone presenti. L’intento è anche quello di trasmettere al proprietario le capacità per poter  giustamente interpretare il proprio cane leggendone i segnali.;img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
PERCORSI DI RIEDUCAZIONE COMPORTAMENTALE;"Potendosi avvalere di personale altamente specializzato in tale particolare aspetto, nel Centro è possibile intervenire su aspetti connessi al recupero comportamentale, avvalendosi, qualora sia necessario, della consulenza di Medico Veterinario Comportamentalista: 

- Interventi in merito a problematiche ed anomalie del comportamento intra ed interspecifiche;

-  Fobie;

-  Ansia;

- Aggressività e disturbi gerarchici

- Disturbi dell'omeostasi sensoriale;

- Distimie del cane anziano, etc.";img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
PREPARAZIONE BINOMI PER CERTIFICAZIONE “ CANE URBANO” FISC;"Al fine di poter ottenere una più serena convivenza, il progetto Cane Urbano si pone l’obbiettivo di responsabilizzare il proprietario alla gestione del proprio cane attraverso l’educazione e migliorare la gestione del cane in ambito cittadino.
Un cane che ha un comportamento corretto ed educato è ben accetto nelle varie strutture e nei diversi esercizi commerciali e ciò significa che potrà seguire in diversi luoghi il proprietario con minori difficoltà nella gestione quotidiana e nei momenti di svago.";img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
HUNTERING;L’Huntering è uno sport cinofilo basato su un triathlon di pista, riporto e obbedienza, tendente a evidenziare e valorizzare alcune capacità che si ritrovano nella natura stessa del cane. Benché sia stato concepito recentemente, la sua filosofia viene da molto lontano, dall’alba del grande incontro, quando il nostro antenato restò attratto da questo animale capace di obbedirgli e di collaborare con lui, di seguire per lui una traccia sino a  riportargli la preda abbattuta. Nacque così quell’intesa che portò le due specie a collaborare per millenni, ma che l’uomo tecnologico e urbanizzato ha un po’ dimenticato, perdendo quella capacità d’intesa “animale” che i suoi antenati avevano saputo così bene creare. Questo sport vuole contribuire a ricreare quell’intesa attraverso un sistema di tre prove che s’incentrano sulla capacità del cane di obbedire, di seguire una traccia e di riportare, in uno spirito di collaborazione necessario a far sì che possa essere un’ occasione in più, nell’appassionante e già vasto panorama cinofilo, per costituire un importante momento di crescita reciproca. L'Huntering è una disciplina aperta a tutti i cani, nessuno escluso, particolarmente indicata per i cani da riporto.;img/scodinzolando/Attivita/Huntering.jpg
SCENT GAME;"E’ uno sport cinofilo  che sviluppa le grandi capacità olfattive del cane attraverso un divertente gioco di naso, che si ispira all’attività altamente professionale dei cani da ricerca di sostanze e odori particolari (droghe, esplosivi, banconote), elaborandolo a fini sportivi e ricreativi.
 
Questo sport, incentivando nell’animale il lavoro di naso, oltre ad incanalarne le enormi capacità olfattive in un’attività che uomo e cane possono fare insieme, può essere un completamento ideale per un programma di modificazione del comportamento. 

Lo sport consiste nel riconoscimento degli odori di diverse sostanze e nella ricerca delle stesse all’interno di sequenze di scatole, di ambienti e di autovetture. Possono essere altresì organizzate Prove Speciali  basate su ricerche o su odori particolari  (es. ricerche su di sostanze su persone fra la folla, ricerche su valigie, ricerche di sostanze diverse ecc…). 

Tutti i cani hanno un buon naso! E’ quindi un’attività nella quale possono essere impiegati cani di tutte le razze e non, di tutte le taglie e di tutti i tipi, compresi i cani anziani e quelli portatori di handicap fisici. Per tutti sarà un’attività completa che comporta esercizio fisico e mentale.";img/scodinzolando/Attivita/ScentGame.jpg
DOG ENDURANCE;"Il dog endurance™ è una manifestazione sportiva che mette in luce le doti del conduttore e del cane nell’effettuare percorsi di varie lunghezze, su terreni di varia natura, in tempo determinati (per la fase di regolarità) o nel minor tempo possibile (nelle gare di velocità) salvaguardando sempre e comunque l’integrità del cane, impiegando le andature adatte al terreno e la velocità conformi all’allenamento e condizione fisica del cane stesso. Essa consiste nell’affrontare diversi percorsi con lo scopo di evidenziare la loro intelligenza e la loro capacità di socializzazione con cani e persone. Questa disciplina implica una buona armonia tra il cane e il suo conduttore che porta ad una intesa perfetta tra i due; è dunque necessario che i partecipanti posseggano gli elementi base dell’educazione e dell’obbedienza.";img/scodinzolando/foto1.jpg,img/scodinzolando/foto2.jpg
